team_number,oprs,dprs,ccwms,event_key,_dlt_load_id,_dlt_id
1051,6.7172250308941965,20.28731292022855,-13.570087889334358,2024sccha,1732721076.5057478,GQj5aKupztMBeQ
1102,32.34208516308688,7.657054548704035,24.68503061438285,2024sccha,1732721076.5057478,JzUH/rQsuVvhRQ
1287,20.977637683426984,15.769217626350766,5.20842005707621,2024sccha,1732721076.5057478,lEJlH1hsFWkEWQ
1293,7.641810470344063,13.760108628642724,-6.118298158298646,2024sccha,1732721076.5057478,7Hi81Yo14LuzpQ
1319,5.517795933696907,6.109170041995624,-0.5913741082987081,2024sccha,1732721076.5057478,WLic8wft8j3zmw
1539,10.817557853992835,17.090645031717102,-6.273087177724265,2024sccha,1732721076.5057478,JblVMjZLrEBK8A
1758,10.264015536861512,14.543989572699928,-4.279974035838412,2024sccha,1732721076.5057478,u0Gmhq9sMhtKKA
281,26.06142373796262,15.31297551693416,10.748448221028463,2024sccha,1732721076.5057478,5nz38yeqrtMkAw
2815,21.453798124380388,17.23189099966945,4.221907124710923,2024sccha,1732721076.5057478,Dwz7DUk/aQQapQ
342,17.927230645443725,10.776467047518025,7.150763597925699,2024sccha,1732721076.5057478,cKwTBI13ZxOhXg
343,32.952013769673776,11.016981587940469,21.935032181733295,2024sccha,1732721076.5057478,o+/HmZACf0SuZg
3489,17.899004333176013,15.084427392563349,2.814576940612668,2024sccha,1732721076.5057478,1RDePWYU5mg3gA
3490,20.690196518433066,14.268442265366614,6.421754253066456,2024sccha,1732721076.5057478,FQIatwfLH+wtNA
3976,4.424265317002101,15.47346413885545,-11.049198821853341,2024sccha,1732721076.5057478,ypw8GnyvAkfoYw
4533,22.904109192335273,10.259660832856301,12.644448359478966,2024sccha,1732721076.5057478,tW1zGOWraIV8Lg
4701,6.751231204792726,19.426807879641622,-12.675576674848891,2024sccha,1732721076.5057478,vHxr7uVXV+IxHQ
5130,19.664197125026526,21.287443902422346,-1.623246777395831,2024sccha,1732721076.5057478,SUXKkLLffOzVtg
6167,12.4186021617925,10.736045887305007,1.6825562744874851,2024sccha,1732721076.5057478,30l7gYWBY1sz2Q
6366,26.642880358978818,9.465476144769791,17.177404214209016,2024sccha,1732721076.5057478,2T5QW2Do57dZKg
6910,7.473084070573961,18.988073894386023,-11.514989823812066,2024sccha,1732721076.5057478,9kEOoFBhsYsFxg
6925,22.248348836422505,10.726950965176702,11.521397871245789,2024sccha,1732721076.5057478,2JPOZ5MPZ43LIQ
