actual_time,match_number,key,event_key,comp_level,red1,red2,red3,red_score,blue1,blue2,blue3,blue_score,blue_adjust_points,blue_auto_amp_note_count,blue_auto_amp_note_points,blue_auto_leave_points,blue_auto_line_robot1,blue_auto_line_robot2,blue_auto_line_robot3,blue_auto_points,blue_auto_speaker_note_count,blue_auto_speaker_note_points,blue_auto_total_note_points,blue_coop_note_played,blue_coopertition_bonus_achieved,blue_coopertition_criteria_met,blue_end_game_harmony_points,blue_end_game_note_in_trap_points,blue_end_game_on_stage_points,blue_end_game_park_points,blue_end_game_robot1,blue_end_game_robot2,blue_end_game_robot3,blue_end_game_spot_light_bonus_points,blue_end_game_total_stage_points,blue_ensemble_bonus_achieved,blue_ensemble_bonus_on_stage_robots_threshold,blue_ensemble_bonus_stage_points_threshold,blue_foul_count,blue_foul_points,blue_g206_penalty,blue_g408_penalty,blue_g424_penalty,blue_melody_bonus_achieved,blue_melody_bonus_threshold,blue_melody_bonus_threshold_coop,blue_melody_bonus_threshold_non_coop,blue_mic_center_stage,blue_mic_stage_left,blue_mic_stage_right,blue_rp,blue_tech_foul_count,blue_teleop_amp_note_count,blue_teleop_amp_note_points,blue_teleop_points,blue_teleop_speaker_note_amplified_count,blue_teleop_speaker_note_amplified_points,blue_teleop_speaker_note_count,blue_teleop_speaker_note_points,blue_teleop_total_note_points,blue_total_points,blue_trap_center_stage,blue_trap_stage_left,blue_trap_stage_right,red_adjust_points,red_auto_amp_note_count,red_auto_amp_note_points,red_auto_leave_points,red_auto_line_robot1,red_auto_line_robot2,red_auto_line_robot3,red_auto_points,red_auto_speaker_note_count,red_auto_speaker_note_points,red_auto_total_note_points,red_coop_note_played,red_coopertition_bonus_achieved,red_coopertition_criteria_met,red_end_game_harmony_points,red_end_game_note_in_trap_points,red_end_game_on_stage_points,red_end_game_park_points,red_end_game_robot1,red_end_game_robot2,red_end_game_robot3,red_end_game_spot_light_bonus_points,red_end_game_total_stage_points,red_ensemble_bonus_achieved,red_ensemble_bonus_on_stage_robots_threshold,red_ensemble_bonus_stage_points_threshold,red_foul_count,red_foul_points,red_g206_penalty,red_g408_penalty,red_g424_penalty,red_melody_bonus_achieved,red_melody_bonus_threshold,red_melody_bonus_threshold_coop,red_melody_bonus_threshold_non_coop,red_mic_center_stage,red_mic_stage_left,red_mic_stage_right,red_rp,red_tech_foul_count,red_teleop_amp_note_count,red_teleop_amp_note_points,red_teleop_points,red_teleop_speaker_note_amplified_count,red_teleop_speaker_note_amplified_points,red_teleop_speaker_note_count,red_teleop_speaker_note_points,red_teleop_total_note_points,red_total_points,red_trap_center_stage,red_trap_stage_left,red_trap_stage_right,_dlt_load_id,_dlt_id
1712413211,89,2024gacmp_qm89,2024gacmp,qm,9522,9260,8577,41,2815,2974,2415,89,0,0,0,4,No,Yes,Yes,44,8,40,40,false,false,false,0,0,0,1,Parked,None,None,0,1,false,2,10,0,0,false,false,false,true,21,18,21,false,false,false,3,1,6,6,45,6,30,4,8,44,89,false,false,false,0,0,0,4,Yes,Yes,No,14,2,10,10,false,false,false,0,0,6,0,StageLeft,StageRight,None,0,6,false,2,10,0,5,false,false,false,false,21,18,21,false,false,false,0,0,0,0,22,0,0,8,16,16,41,false,false,false,1732721062.1783433,sPVBowPMBtwqqA
1712268568,9,2024gacmp_qm9,2024gacmp,qm,7538,1261,3815,54,8575,2815,8577,64,0,0,0,6,Yes,Yes,Yes,26,4,20,20,false,false,false,0,0,3,1,CenterStage,Parked,None,0,4,false,2,10,0,0,false,false,false,true,21,18,21,false,false,false,3,1,0,0,38,0,0,17,34,34,64,false,false,false,0,0,0,4,Yes,Yes,No,34,6,30,30,false,false,false,0,0,0,0,None,None,None,0,0,false,2,10,0,5,false,false,false,false,21,18,21,true,true,false,0,0,2,2,15,1,5,4,8,15,54,false,false,false,1732721062.1783433,ehYYGYbOkRBSZg
1712413652,90,2024gacmp_qm90,2024gacmp,qm,4112,4188,1683,95,3490,343,8736,74,0,0,0,4,No,Yes,Yes,34,6,30,30,true,true,true,0,5,3,1,None,StageRight,Parked,0,9,false,2,10,1,2,false,false,true,true,18,18,21,false,false,false,1,4,7,7,38,2,10,6,12,29,74,false,false,true,0,0,0,4,Yes,No,Yes,39,7,35,35,true,true,true,0,0,0,3,Parked,Parked,Parked,0,3,true,2,10,1,22,false,false,false,true,18,18,21,false,false,false,4,0,5,5,34,2,10,8,16,31,95,false,false,false,1732721062.1783433,LdPcDZsg6aI7Pg
1712414230,91,2024gacmp_qm91,2024gacmp,qm,3815,6925,1414,74,5293,1287,7451,91,0,0,0,4,Yes,No,Yes,34,6,30,30,true,true,true,0,0,0,2,None,Parked,Parked,0,2,true,2,10,0,10,false,false,false,true,18,18,21,true,false,false,4,0,8,8,47,7,35,1,2,45,91,false,false,false,0,0,0,4,No,Yes,Yes,29,5,25,25,true,true,true,0,0,0,3,Parked,Parked,Parked,0,3,false,2,10,0,0,false,false,true,true,18,18,21,false,true,false,1,2,3,3,45,3,15,12,24,42,74,false,false,false,1732721062.1783433,LoNvQQ4uDuZ69w
1712414640,92,2024gacmp_qm92,2024gacmp,qm,9480,4509,5109,80,342,7538,6829,39,0,0,0,2,No,Yes,No,12,2,10,10,false,false,false,0,0,6,1,Parked,StageRight,StageLeft,0,7,false,2,10,0,0,false,false,false,false,21,18,21,false,false,false,0,0,0,0,27,0,0,10,20,20,39,false,false,false,0,0,0,4,No,Yes,Yes,34,6,30,30,false,false,false,0,0,6,1,Parked,StageLeft,StageRight,0,7,false,2,10,0,0,false,false,false,true,21,18,21,false,false,false,3,0,6,6,46,5,25,4,8,39,80,false,false,false,1732721062.1783433,fu3TelhE5DjHJA
1712415081,93,2024gacmp_qm93,2024gacmp,qm,7104,1746,3635,80,281,8575,4533,67,0,0,0,4,Yes,No,Yes,19,3,15,15,false,false,false,0,0,3,0,None,None,StageRight,0,3,false,2,10,0,0,false,false,false,true,21,18,21,false,false,false,1,0,6,6,48,5,25,7,14,45,67,false,false,false,0,0,0,6,Yes,Yes,Yes,36,6,30,30,false,false,false,0,0,3,1,Parked,None,CenterStage,0,4,false,2,10,0,0,false,false,false,true,21,18,21,false,false,true,3,0,0,0,44,0,0,20,40,40,80,false,false,false,1732721062.1783433,k9csPz2vhWgRpQ
1712415463,94,2024gacmp_qm94,2024gacmp,qm,2415,9522,1261,69,4451,3489,9260,53,0,0,0,4,Yes,Yes,No,19,3,15,15,true,true,true,0,0,3,1,Parked,None,StageRight,0,4,false,2,10,0,0,false,false,false,true,18,18,21,false,false,false,1,0,2,2,34,0,0,14,28,30,53,false,false,false,0,0,0,4,Yes,No,Yes,14,2,10,10,true,true,true,0,0,3,0,None,StageRight,None,0,3,false,2,10,0,0,false,false,false,true,18,18,21,false,false,false,3,0,7,7,55,7,35,5,10,52,69,false,false,false,1732721062.1783433,6vTQ2EeGNPO+0A
1712415895,95,2024gacmp_qm95,2024gacmp,qm,1648,5130,4188,75,1683,8577,8849,70,0,0,0,4,Yes,No,Yes,19,3,15,15,false,false,false,0,0,0,3,Parked,Parked,Parked,0,3,false,2,10,0,4,false,false,false,false,21,18,21,false,false,true,0,1,6,6,47,6,30,4,8,44,70,false,false,false,0,0,0,4,No,Yes,Yes,24,4,20,20,false,false,false,2,0,6,0,StageRight,StageRight,None,0,8,false,2,10,2,5,false,false,false,true,21,18,21,false,false,false,3,0,0,0,46,0,0,19,38,38,75,false,false,false,1732721062.1783433,SS8L76fXONnvVw
1712416373,96,2024gacmp_qm96,2024gacmp,qm,8080,6919,3815,38,3490,1414,3329,60,0,0,0,2,No,Yes,No,27,5,25,25,true,true,true,0,0,0,0,None,None,None,0,0,false,2,10,0,5,false,false,false,true,18,18,21,false,false,false,3,0,3,3,28,1,5,10,20,28,60,false,false,false,0,0,0,2,No,Yes,No,7,1,5,5,true,true,true,0,0,0,2,Parked,Parked,None,0,2,false,2,10,0,0,false,false,false,false,18,18,21,false,false,false,0,1,6,6,31,3,15,4,8,29,38,false,false,false,1732721062.1783433,fEHQjaymsLey+w
1712416778,97,2024gacmp_qm97,2024gacmp,qm,343,4026,7451,116,8736,4701,5293,46,0,0,0,4,Yes,No,Yes,19,3,15,15,true,true,true,0,0,0,3,Parked,Parked,Parked,0,3,false,2,10,2,0,false,false,false,false,18,18,21,false,false,false,0,0,4,4,27,2,10,5,10,24,46,false,false,false,0,0,0,6,Yes,Yes,Yes,36,6,30,30,true,true,true,0,5,3,2,StageLeft,Parked,Parked,0,10,false,2,10,0,4,false,false,false,true,18,18,21,false,false,true,3,0,10,10,76,10,50,3,6,66,116,false,true,false,1732721062.1783433,YjJMe3DpMYhGLg
